subject_id,workflow_id,task,reducer,data.aggregation_version,data.frame0.T4_tool0_points_x,data.frame0.T4_tool0_points_y,data.frame0.T4_tool0_cluster_labels,data.frame0.T4_tool0_clusters_count,data.frame0.T4_tool0_clusters_x,data.frame0.T4_tool0_clusters_y,data.frame0.T4_tool0_clusters_var_x,data.frame0.T4_tool0_clusters_var_y,data.frame0.T4_tool0_clusters_var_x_y
89072755,24257,T4,point_reducer_dbscan,4.1.0,"[464.75, 37.75]","[316.9666748046875, 132.9666748046875]","[-1, -1]",,,,,,
89072756,24257,T4,point_reducer_dbscan,4.1.0,[38.75],[278.9666748046875],[-1],,,,,,
89072757,24257,T4,point_reducer_dbscan,4.1.0,"[363.75, 317.75]","[364.9666748046875, 380.9666748046875]","[-1, -1]",,,,,,
89072758,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072759,24257,T4,point_reducer_dbscan,4.1.0,"[308.75, 265.75]","[663.9666748046875, 442.9666748046875]","[-1, -1]",,,,,,
89072761,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072762,24257,T4,point_reducer_dbscan,4.1.0,[621.3720092773438],[149.02108764648438],[-1],,,,,,
89072763,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072764,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072765,24257,T4,point_reducer_dbscan,4.1.0,[582.75],[290.566650390625],[-1],,,,,,
89072766,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072767,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072768,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072771,24257,T4,point_reducer_dbscan,4.1.0,"[172.75, 305.75, 442.75]","[184.9666748046875, 353.9666748046875, 538.9666748046875]","[-1, -1, -1]",,,,,,
89072773,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072774,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072775,24257,T4,point_reducer_dbscan,4.1.0,[348.75],[21.96666717529297],[-1],,,,,,
89072776,24257,T4,point_reducer_dbscan,4.1.0,"[364.75, 387.75]","[364.9666748046875, 383.9666748046875]","[-1, -1]",,,,,,
89072777,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072778,24257,T4,point_reducer_dbscan,4.1.0,"[554.8117065429688, 555.9210815429688]","[690.3781127929688, 515.1026611328125]","[-1, -1]",,,,,,
89072779,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072780,24257,T4,point_reducer_dbscan,4.1.0,[424.75],[212.9666748046875],[-1],,,,,,
89072781,24257,T4,point_reducer_dbscan,4.1.0,[186.51145935058594],[393.07550048828125],[-1],,,,,,
89072782,24257,T4,point_reducer_dbscan,4.1.0,[183.75],[415.9666748046875],[-1],,,,,,
89072783,24257,T4,point_reducer_dbscan,4.1.0,"[594.7479248046875, 655.761474609375]","[417.4809265136719, 299.8910827636719]","[-1, -1]",,,,,,
89072784,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072785,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072789,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072791,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072793,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072795,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072796,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
89072797,24257,T4,point_reducer_dbscan,4.1.0,"[188.75, 277.75, 292.75]","[357.9666748046875, 235.9666748046875, 192.9666748046875]","[-1, -1, -1]",,,,,,
89072799,24257,T4,point_reducer_dbscan,4.1.0,"[285.2425537109375, 589.2012329101562, 101.09242248535156, 681.2763061523438]","[291.0163879394531, 135.7090301513672, 368.6700439453125, 481.8225402832031]","[-1, -1, -1, -1]",,,,,,
89072800,24257,T4,point_reducer_dbscan,4.1.0,"[365.75, 375.75]","[364.9666748046875, 421.9666748046875]","[-1, -1]",,,,,,
89072801,24257,T4,point_reducer_dbscan,4.1.0,"[580.3265380859375, 398.3950500488281]","[150.13043212890625, 227.7841033935547]","[-1, -1]",,,,,,
91319001,24257,T4,point_reducer_dbscan,4.1.0,"[187.3125, 272.3125, 362.3125, 426.3125, 460.3125, 359.75, 421.75, 270.75, 190.75, 356.5511169433594, 273.0935974121094, 186.93405151367188, 361.75, 424.75, 268.75, 182.75, 190.75, 235.75, 272.75, 366.75, 321.75, 429.75]","[335.75, 354.75, 359.75, 354.75, 338.75, 360.9666748046875, 355.9666748046875, 352.9666748046875, 325.9666748046875, 365.864501953125, 359.5235595703125, 344.1597595214844, 358.9666748046875, 350.9666748046875, 351.9666748046875, 330.9666748046875, 337.9666748046875, 346.9666748046875, 356.9666748046875, 367.9666748046875, 361.9666748046875, 354.9666748046875]","[-1, 0, 1, 2, -1, 1, 2, 0, -1, -1, 0, -1, 1, 2, 0, -1, -1, -1, 0, -1, -1, 2]","[5, 3, 4]","[271.5312194824219, 361.2708333333333, 425.640625]","[355.234716796875, 359.8944498697917, 354.1625061035156]","[3.220583920367062, 1.813802083333333, 11.089518229166666]","[9.36322854757309, 1.015649323662122, 4.820066257069508]","[4.823487707413733, -1.1128514607747395, -0.157901128133138]"
91319002,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319003,24257,T4,point_reducer_dbscan,4.1.0,"[330.1994934082031, 365.8060302734375, 360.75, 173.75, 701.75, 581.75, 390.75, 342.75]","[387.7191162109375, 363.80426025390625, 363.9666748046875, 90.96666717529297, 233.9666748046875, 477.9666748046875, 510.9666748046875, 716.9666748046875]","[-1, -1, -1, -1, -1, -1, -1, -1]",,,,,,
91319004,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319005,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319006,24257,T4,point_reducer_dbscan,4.1.0,"[341.75, 367.75, 367.75]","[297.9666748046875, 304.9666748046875, 269.9666748046875]","[-1, -1, -1]",,,,,,
91319007,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319008,24257,T4,point_reducer_dbscan,4.1.0,"[361.6378479003906, 388.337646484375]","[362.7989807128906, 395.0228576660156]","[-1, -1]",,,,,,
91319009,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319010,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319011,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319012,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319013,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319014,24257,T4,point_reducer_dbscan,4.1.0,"[363.75, 309.75]","[363.9666748046875, 346.9666748046875]","[-1, -1]",,,,,,
91319015,24257,T4,point_reducer_dbscan,4.1.0,"[127.3125, 209.3125, 307.3125, 363.3125, 125.82177734375, 208.38600158691406, 300.023193359375, 364.4414367675781, 357.75, 299.75, 209.75, 125.75, 301.75, 362.75, 208.75, 125.75]","[340.75, 362.75, 368.75, 361.75, 344.7310791015625, 365.5989685058594, 373.31097412109375, 360.60882568359375, 364.9666748046875, 371.9666748046875, 366.9666748046875, 342.9666748046875, 370.9666748046875, 366.9666748046875, 364.9666748046875, 342.9666748046875]","[0, 1, -1, -1, 0, 1, 2, -1, -1, 2, 1, 0, 2, -1, 1, 0]","[4, 4, 3]","[126.1585693359375, 209.04962539672852, 300.5077311197917]","[342.8536071777344, 365.0705795288086, 372.08144124348956]","[0.5929475426673889, 0.3632665270900664, 1.1760826309521994]","[2.658544186502695, 3.0900859158330904, 1.3838133228321872]","[-1.050708755850792, 0.132812180595162, -0.9468163301547368]"
91319016,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319017,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319018,24257,T4,point_reducer_dbscan,4.1.0,"[362.3125, 395.3125]","[361.75, 335.75]","[-1, -1]",,,,,,
91319019,24257,T4,point_reducer_dbscan,4.1.0,"[364.7431640625, 410.978515625, 362.61737060546875, 363.75]","[363.80426025390625, 376.558837890625, 420.66845703125, 359.9666748046875]","[-1, -1, -1, -1]",,,,,,
91319020,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319021,24257,T4,point_reducer_dbscan,4.1.0,"[363.3125, 320.3125, 286.3125, 364.75, 287.75, 317.75, 284.19659423828125, 321.9289245605469, 363.3813171386719, 287.5347900390625, 322.5520324707031, 363.04071044921875, 325.75, 283.75]","[363.75, 369.75, 365.75, 362.9666748046875, 366.9666748046875, 371.9666748046875, 367.1080322265625, 368.1708984375, 365.5137023925781, 366.64141845703125, 369.9242858886719, 363.35858154296875, 372.9666748046875, 367.9666748046875]","[0, 1, 2, 0, 2, 1, 2, 1, 0, 2, 1, 0, 1, 2]","[4, 5, 5]","[363.62113189697266, 321.65869140625, 285.9087768554688]","[363.8972396850586, 370.5557067871094, 366.8865600585938]","[0.5879990057243655, 8.67499750899151, 3.447225186228752]","[1.2635782667590925, 3.634691042639315, 0.6434948325157166]","[-0.36001500758963323, 1.0562706643249837, -0.8552193658426404]"
91319022,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319023,24257,T4,point_reducer_dbscan,4.1.0,"[362.896240234375, 383.9736633300781, 360.8676452636719, 386.5790100097656]","[366.2294921875, 293.01318359375, 361.03009033203125, 294.1805114746094]","[-1, -1, -1, -1]",,,,,,
91319024,24257,T4,point_reducer_dbscan,4.1.0,"[360.9622802734375, 379.0419006347656, 388.5121765136719, 353.75, 384.75, 341.75, 306.75, 362.3908996582031, 388.7354736328125, 348.8311767578125, 362.0384521484375, 385.28369140625, 352.9986267089844, 304.78631591796875]","[367.4751892089844, 353.269775390625, 339.0643615722656, 366.9666748046875, 334.9666748046875, 278.9666748046875, 436.9666748046875, 362.9660339355469, 338.5585632324219, 275.79644775390625, 366.6142578125, 303.3355712890625, 276.21612548828125, 433.76715087890625]","[0, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, -1]",[3],[361.7972106933594],[365.68516031901044],[0.5538864163681865],[5.730536934298773],[-1.4423640347085893]
91319025,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319026,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319027,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319028,24257,T4,point_reducer_dbscan,4.1.0,"[363.5839538574219, 353.0614013671875, 363.0188903808594, 351.5103759765625, 364.75, 351.75]","[363.4455261230469, 402.1875915527344, 362.3386535644531, 401.4676208496094, 362.9666748046875, 401.9666748046875]","[0, 1, 0, 1, 0, 1]","[3, 3]","[363.78428141276044, 352.1072591145833]","[362.9169514973958, 401.87396240234375]","[0.7792834754412373, 0.6971454968055089]","[0.3081460207079848, 0.13603614550083876]","[0.1923773555705945, 0.25433144718408585]"
91319029,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319030,24257,T4,point_reducer_dbscan,4.1.0,"[362.55810546875, 363.2019958496094, 364.00555419921875, 376.2082824707031, 720.1030883789062, 581.4358520507812, 319.6320495605469, 239.7596893310547]","[367.4391784667969, 331.080078125, 365.342041015625, 299.8910827636719, 222.23741149902344, 157.8957977294922, 314.3124694824219, 348.70196533203125]","[-1, -1, -1, -1, -1, -1, -1, -1]",,,,,,
91319031,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319032,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319033,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319034,24257,T4,point_reducer_dbscan,4.1.0,"[316.8931579589844, 362.75, 313.75]","[376.5302734375, 362.9666748046875, 378.9666748046875]","[-1, -1, -1]",,,,,,
91319035,24257,T4,point_reducer_dbscan,4.1.0,[362.75],[361.9666748046875],[-1],,,,,,
91319036,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319037,24257,T4,point_reducer_dbscan,4.1.0,"[340.3833312988281, 338.3125, 367.3125, 367.61956787109375, 340.8349304199219, 365.75, 338.75, 366.98883056640625, 340.29986572265625]","[385.9666748046875, 383.75, 362.75, 362.5925598144531, 381.72442626953125, 361.9666748046875, 378.9666748046875, 360.1572570800781, 379.52825927734375]","[0, 0, 1, 1, 0, 1, 0, 1, 0]","[5, 4]","[339.71612548828125, 366.917724609375]","[381.98720703125, 361.8666229248047]","[1.2353009250946343, 0.6723561311761538]","[8.545673881843687, 1.4130937981729705]","[0.3424122254364192, 0.2066167692343394]"
91319038,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319039,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319040,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319041,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319042,24257,T4,point_reducer_dbscan,4.1.0,"[363.1488342285156, 327.5422668457031, 269.6152038574219, 231.88290405273438, 362.5792236328125, 326.1292419433594, 270.7252197265625, 227.7142333984375, 363.75, 329.75, 266.75, 231.75, 360.75, 322.75, 271.75, 231.75, 364.75, 324.75, 265.75, 229.75]","[363.80426025390625, 409.5081787109375, 467.9667053222656, 515.2649536132812, 364.2466735839844, 413.8186950683594, 464.11968994140625, 515.878662109375, 363.9666748046875, 411.9666748046875, 470.9666748046875, 516.9666748046875, 362.9666748046875, 412.9666748046875, 471.9666748046875, 513.9666748046875, 363.9666748046875, 406.9666748046875, 469.9666748046875, 516.9666748046875]","[0, 1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 3]","[5, 5, 5, 5]","[362.9956115722656, 326.1843017578125, 268.9180847167969, 230.56942749023438]","[363.7901916503906, 411.0453796386719, 468.9972839355469, 515.8087280273437]","[2.2216520218178633, 7.103238703403623, 6.627202080748975, 3.3340795738622546]","[0.2372615709900856, 7.807564546354115, 9.6221291590482, 1.5938557356595995]","[0.5260344671551138, 0.0741708187852057, -2.116190551314503, -0.6676002526655793]"
91319043,24257,T4,point_reducer_dbscan,4.1.0,"[405.05108642578125, 441.65924072265625, 361.7868957519531, 361.3125, 405.3125, 443.3125, 355.1981506347656, 405.0617370605469, 441.1472473144531, 410.123779296875, 444.36663818359375, 362.82794189453125, 355.3807067871094, 406.812255859375, 435.2637634277344]","[378.8759460449219, 393.29736328125, 361.1265563964844, 365.75, 380.75, 392.75, 363.0098571777344, 378.7562561035156, 391.87823486328125, 378.10528564453125, 396.67584228515625, 365.5970764160156, 366.6414489746094, 379.77288818359375, 395.09295654296875]","[0, 1, 2, 2, 0, 1, -1, 0, 1, 0, 1, 2, -1, 0, -1]","[5, 4, 3]","[406.47227172851564, 442.6214065551758, 361.9757792154948]","[379.2520751953125, 393.6503601074219, 364.1578776041667]","[4.700885726884008, 2.207450714195147, 0.6008987560247382]","[1.0543652181513608, 4.4097417903443175, 6.897527603742978]","[-1.1284435435663909, 2.536656836358209, 0.3714881351528068]"
91319044,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319045,24257,T4,point_reducer_dbscan,4.1.0,"[362.2530517578125, 356.5755310058594, 363.75, 359.75, 358.9020690917969, 363.0749816894531, 359.46099853515625, 363.7226257324219, 359.5184326171875, 359.0401306152344]","[363.42449951171875, 409.9801330566406, 362.9666748046875, 409.9666748046875, 409.9544982910156, 363.0091552734375, 410.3152770996094, 362.6625671386719, 364.88043212890625, 411.2752380371094]","[0, 1, 0, 1, 1, 0, 1, 0, 0, 1]","[5, 5]","[362.463818359375, 358.74574584960936]","[363.3886657714844, 410.2983642578125]","[3.0830248904414472, 1.5852611542679367]","[0.7689936852082611, 0.3210253046825528]","[-1.5225245404522865, 0.15086225946433846]"
91319046,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319047,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319048,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319049,24257,T4,point_reducer_dbscan,4.1.0,[361.75],[361.9666748046875],[-1],,,,,,
91319050,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319051,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319052,24257,T4,point_reducer_dbscan,4.1.0,"[367.3125, 351.3125, 361.75, 280.75, 37.75, 230.75, 362.8664855957031, 437.9591064453125, 364.8125, 323.8125, 435.8125]","[363.75, 382.75, 360.9666748046875, 255.96665954589844, 330.9666748046875, 431.9666748046875, 368.706787109375, 403.1441650390625, 364.75, 395.75, 403.75]","[0, -1, 0, -1, -1, -1, 0, -1, 0, -1, -1]",[4],[364.1853713989258],[364.5433654785156],[5.947572394196564],[10.266307486842075],[0.28937434249867994]
91319053,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319054,24257,T4,point_reducer_dbscan,4.1.0,"[363.3125, 329.3125, 362.33319091796875, 327.4942626953125, 360.8521423339844, 325.83489990234375, 324.5609130859375, 364.5943603515625]","[363.75, 353.75, 363.79931640625, 353.760986328125, 363.35858154296875, 354.604248046875, 359.8200378417969, 362.40283203125]","[0, 1, 0, 1, 0, 1, -1, 0]","[4, 3]","[362.7730484008789, 327.54722086588544]","[363.3276824951172, 354.0384114583333]","[2.497179990867153, 3.0255290356775126]","[0.4190312509114543, 0.24015845855077106]","[-0.574475740858664, -0.7316643272837002]"
91319055,24257,T4,point_reducer_dbscan,4.1.0,"[343.3869323730469, 335.6676025390625, 319.75, 364.75, 362.75]","[360.087158203125, 344.05474853515625, 360.9666748046875, 365.9666748046875, 364.9666748046875]","[-1, -1, -1, -1, -1]",,,,,,
91319056,24257,T4,point_reducer_dbscan,4.1.0,"[364.7431640625, 402.4754638671875, 419.4815673828125, 387.5951232910156, 344.0169372558594, 321.6964416503906, 360.8569641113281, 420.4964599609375, 389.79095458984375, 348.4566650390625, 316.5702209472656, 399.2388000488281, 322.75, 373.75, 398.75, 406.75, 380.75, 342.75, 365.75, 402.75, 384.75, 416.75, 342.75, 320.75, 363.31488037109375, 317.8766784667969, 347.5310974121094, 381.49017333984375, 418.31903076171875, 399.1871643066406, 334.30291748046875, 385.4424133300781, 420.31024169921875, 403.65118408203125, 358.3229675292969, 323.45513916015625]","[366.9928894042969, 346.79815673828125, 310.66015625, 267.6134338378906, 257.51605224609375, 319.1632080078125, 369.1137390136719, 306.52178955078125, 269.3209228515625, 259.2825927734375, 311.8362121582031, 345.494140625, 268.9666748046875, 264.9666748046875, 276.9666748046875, 310.9666748046875, 349.9666748046875, 356.9666748046875, 365.9666748046875, 341.9666748046875, 276.9666748046875, 310.9666748046875, 255.96665954589844, 314.9666748046875, 362.1142578125, 314.2845764160156, 258.3238220214844, 269.32464599609375, 300.4139709472656, 335.3296203613281, 359.0918273925781, 362.1911926269531, 329.2604675292969, 284.3196716308594, 257.97509765625, 267.273193359375]","[0, 1, 2, -1, 3, 4, 0, 2, -1, 3, 4, 1, -1, -1, -1, -1, -1, -1, 0, 1, -1, 2, 3, 4, 0, 4, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[4, 3, 3, 4, 4]","[363.66625213623047, 401.4880879720052, 418.9093424479167, 345.6886749267578, 319.2233352661133]","[366.04689025878906, 344.75299072265625, 309.38287353515625, 257.7722816467285, 315.0626678466797]","[4.505768593633547, 3.8133146430676184, 3.754571591814359, 7.4956023472671705, 5.766486840555444]","[8.59083604843666, 6.247781801968813, 6.162839580327272, 1.9703870537341572, 9.27969562044988]","[-2.127412165359904, -1.5818987349048257, -3.614976394921541, 3.643727129868542, 6.534166920464486]"
91319057,24257,T4,point_reducer_dbscan,4.1.0,"[360.4916076660156, 405.6640930175781, 443.9278564453125, 459.33966064453125, 429.0475158691406, 388.12652587890625, 356.2779846191406, 384.92999267578125, 428.9692077636719, 459.7436218261719, 402.4395751953125, 443.29522705078125, 362.3049621582031, 390.1455383300781, 430.132568359375, 459.6466979980469, 442.06549072265625, 402.9108581542969, 363.75, 361.75, 430.75, 451.75, 400.75, 360.75, 405.75, 439.75, 454.75, 427.75, 386.75]","[368.58721923828125, 418.01123046875, 396.75360107421875, 364.86712646484375, 317.0374450683594, 308.0029602050781, 370.46954345703125, 308.9207458496094, 317.9408264160156, 357.2047119140625, 419.2840881347656, 395.40740966796875, 371.0623474121094, 309.9115905761719, 319.8048400878906, 363.6315002441406, 398.6022033691406, 421.15618896484375, 321.9666748046875, 373.9666748046875, 327.9666748046875, 369.9666748046875, 414.9666748046875, 365.9666748046875, 418.9666748046875, 390.9666748046875, 356.9666748046875, 327.9666748046875, 310.9666748046875]","[0, 1, 2, -1, 3, 4, 0, 4, 3, -1, 1, 2, 0, 4, 3, -1, 2, 1, -1, 0, -1, -1, 1, 0, 1, -1, -1, -1, 4]","[5, 5, 3, 3, 4]","[360.3149108886719, 403.5029052734375, 443.09619140625, 429.3830973307292, 387.4880142211914]","[370.0104919433594, 418.4769714355469, 396.9210713704427, 318.2610371907552, 309.4504928588867]","[5.6342707010917366, 4.694961316604167, 0.8968129120767117, 0.42281315693010885, 4.8527569146050755]","[8.836668323911727, 5.152137602493168, 2.572711423349877, 1.9915200037260852, 1.629133825112755]","[0.9766639093868432, 1.8282289532013236, -1.086647861637175, 0.850091138544182, 0.17908408376388252]"
91319058,24257,T4,point_reducer_dbscan,4.1.0,[362.75],[359.9666748046875],[-1],,,,,,
91319059,24257,T4,point_reducer_dbscan,4.1.0,"[364.82421875, 338.3291320800781, 364.0372314453125, 338.522216796875, 337.75, 365.75, 337.75, 363.75, 333.4949035644531, 365.2292785644531]","[363.24945068359375, 327.2918395996094, 361.3306884765625, 328.52569580078125, 327.9666748046875, 363.9666748046875, 327.9666748046875, 359.9666748046875, 326.1527404785156, 363.35858154296875]","[0, 1, 0, 1, 1, 0, 1, 0, 1, 0]","[5, 5]","[364.7181457519531, 337.16925048828125]","[362.3744140625, 327.5807250976562]","[0.6845454780384898, 4.337802111636847]","[2.7890351053327325, 0.8283697214908897]","[1.3201423197053372, 1.6596579132601619]"
91319060,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319061,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319062,24257,T4,point_reducer_dbscan,4.1.0,"[362.9477844238281, 412.53759765625]","[365.0645446777344, 298.42822265625]","[-1, -1]",,,,,,
91319063,24257,T4,point_reducer_dbscan,4.1.0,"[363.91668701171875, 361.6572570800781]","[361.2578125, 328.2135314941406]","[-1, -1]",,,,,,
91319064,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319065,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319066,24257,T4,point_reducer_dbscan,4.1.0,"[360.75, 566.75, 341.75, 222.75, 275.75, 208.75, 364.3125]","[362.9666748046875, 277.9666748046875, 98.96666717529297, 244.9666748046875, 588.9666748046875, 454.9666748046875, 361.75]","[-1, -1, -1, -1, -1, -1, -1]",,,,,,
91319067,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319068,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319069,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319070,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319071,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319072,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
91319073,24257,T4,point_reducer_dbscan,4.1.0,[361.75],[360.9666748046875],[-1],,,,,,
91319074,24257,T4,point_reducer_dbscan,4.1.0,,,,,,,,,
